name alpha beta gamma orig_x orig_y orig_z xmin xmax ymin ymax zmin zmax
nb1a  -2.447101  0.000000  0.000000  125.246826  586.782100    0.000000   0.000000 1000.000000 -100.000000  100.000000 -100.000000  100.000000
nb1b  -2.384272  0.000000  0.000000  105.266336  590.693659    0.000000   0.000000 1000.000000 -100.000000  100.000000 -100.000000  100.000000
nb2a  -0.066173  0.000000  0.000000 -446.228678  401.098451    0.000000   0.000000 1000.000000 -100.000000  100.000000 -100.000000  100.000000
nb2b  -0.129002  0.000000  0.000000 -432.363286  416.007199    0.000000   0.000000 1000.000000 -100.000000  100.000000 -100.000000  100.000000
nb3a   0.066173  0.000000  0.000000 -446.228679 -401.098449    0.000000   0.000000 1000.000000 -100.000000  100.000000 -100.000000  100.000000
nb3b   0.129002  0.000000  0.000000 -432.363281 -416.007203    0.000000   0.000000 1000.000000 -100.000000  100.000000 -100.000000  100.000000
nb4ua  2.144259  0.061136  0.000000  348.440095 -488.456242    5.822592   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
nb4la  2.144259 -0.061136  0.000000  348.440095 -488.456242   -5.822592   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
nb4ub  2.253971  0.061135  0.000000  356.878687 -482.325204    5.822688   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
nb4lb  2.253971 -0.061135  0.000000  356.878687 -482.325204   -5.822688   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
nb5ua -1.625653  0.061136  0.000000    5.213419  599.977350    5.822592   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
nb5la -1.625653 -0.061136  0.000000    5.213419  599.977350   -5.822592   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
nb5ub -1.515940  0.061135  0.000000   -5.217279  599.977316    5.822688   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
nb5lb -1.515940 -0.061135  0.000000   -5.217279  599.977316   -5.822688   0.000000  300.000000 -100.000000  100.000000 -100.000000  100.000000
