name shape src_u[cm] src_v[cm] src_w[cm] axis_u axis_v axis_w widy[cm] widz[cm] divy[rad] divz[rad] focy[cm] focz[cm] naperture ashape awidy_1[cm] awidz_1[cm] aoffy_1[cm] aoffz_1[cm] adist_1[cm]
nb1a  1  1131.110423  1424.5816451   0.000000 -0.76837909 -0.63999498  0.00000000 25.286000 123.64000 0.005061000 0.005061000 1572.1800 1413.5400 1 2 30.00 30.0  -6.605   0.0 1334.28
nb1b  1  1065.515326  1498.4784099   0.000000 -0.72667953 -0.68697661  0.00000000 25.286000 123.64000 0.005061000 0.005061000 1572.1800 1413.5400 1 2 30.00 30.0   6.605   0.0 1334.28
nb2a  1 -1752.435636   487.6607357   0.000000  0.99781135 -0.06612492  0.00000000 25.286000 123.64000 0.005061000 0.005061000 1572.1800 1413.5400 1 2 30.00 30.0  -6.605   0.0 1334.28
nb2b  1 -1742.803517   586.0003044   0.000000  0.99169081 -0.12864425  0.00000000 25.286000 123.64000 0.005061000 0.005061000 1572.1800 1413.5400 1 2 30.00 30.0   6.605   0.0 1334.28
nb3a  1 -1752.435636  -487.6607357   0.000000  0.99781135 0.066124921  0.00000000 25.286000 123.64000 0.005061000 0.005061000 1572.1800 1413.5400 1 2 30.00 30.0  -6.605   0.0 1334.28
nb3b  1 -1742.803517  -586.0003044   0.000000  0.99169081 0.128644246  0.00000000 25.286000 123.64000 0.005061000 0.005061000 1572.1800 1413.5400 1 2 30.00 30.0   6.605   0.0 1334.28
nb4ua 2   758.689000 -1123.6500000  52.108400 -0.54153000 0.838458000 -0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6 -16.000  20.0  532.00
nb4la 2   758.689000 -1123.6500000 -52.108400 -0.54153000 0.838458000  0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6 -16.000 -20.0  532.00
nb4ub 2   834.209000 -1068.7800000  52.108400 -0.63007900 0.774124000 -0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6  16.000  20.0  532.00
nb4lb 2   834.209000 -1068.7800000 -52.108400 -0.63007900 0.774124000  0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6  16.000 -20.0  532.00
nb5ua 2    46.672604  1354.9981510  52.108400 -0.05472627 -0.99663012 -0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6 -16.000  20.0  532.00
nb5la 2    46.672604  1354.9981510 -52.108400 -0.05472627 -0.99663012  0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6 -16.000 -20.0  532.00
nb5ub 2   -46.676135  1354.9969307  52.108400  0.05472595 -0.99663062 -0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6  16.000  20.0  532.00
nb5lb 2   -46.676135  1354.9969307 -52.108400  0.05472595 -0.99663062  0.06109743  9.400000  25.60000 0.019198622 0.019198622  995.0000  995.0000 1 2 29.35 40.6  16.000 -20.0  532.00
