id lens_u[cm] lens_v[cm] lens_w[cm] axis_u axis_v axis_w radius[cm] sigma_pi spot_size
 1 -135.144200000 -712.078100000   0.000  0.547110410  0.837060451  0.000000000 295.80 1.0 1.0
 2 -135.144200000 -712.078100000   0.000  0.556904609  0.830576460  0.000000000 302.86 1.0 1.0
 3 -135.144200000 -712.078100000   0.000  0.566621973  0.823977876  0.000000000 309.86 1.0 1.0
 4 -135.144200000 -712.078100000   0.000  0.576275425  0.817255550  0.000000000 316.82 1.0 1.0
 5 -135.144200000 -712.078100000   0.000  0.585849132  0.810420134  0.000000000 323.73 1.0 1.0
 6 -135.144200000 -712.078100000   0.000  0.592196023  0.805793938  0.000000000 328.31 1.0 1.0
 7 -135.144200000 -712.078100000   0.000  0.598506384  0.801118036  0.000000000 332.86 1.0 1.0
 8 -135.144200000 -712.078100000   0.000  0.604765926  0.796403273  0.000000000 337.39 1.0 1.0
 9 -135.144200000 -712.078100000   0.000  0.611002147  0.791628939  0.000000000 341.91 1.0 1.0
10 -135.144200000 -712.078100000   0.000  0.617200677  0.786805773  0.000000000 346.40 1.0 1.0
11 -135.144200000 -712.078100000   0.000  0.623361136  0.781934073  0.000000000 350.87 1.0 1.0
12 -135.144200000 -712.078100000   0.000  0.629469581  0.777025126  0.000000000 355.31 1.0 1.0
13 -135.144200000 -712.078100000   0.000  0.635552845  0.772057369  0.000000000 359.74 1.0 1.0
14 -135.144200000 -712.078100000   0.000  0.641583517  0.767053185  0.000000000 364.15 1.0 1.0
15 -135.144200000 -712.078100000   0.000  0.647561490  0.762013199  0.000000000 368.53 1.0 1.0
16 -135.144200000 -712.078100000   0.000  0.653513084  0.756915219  0.000000000 372.90 1.0 1.0
17 -513.731533011 -502.063394917 -26.389  0.963494884  0.265463826  0.034735647 371.30 1.0 1.0
18 -513.731533011 -502.063394917 -26.389  0.967164279  0.251793025  0.034547514 382.85 1.0 1.0
19 -513.731533011 -502.063394917 -26.389  0.970241648  0.239686155  0.034375729 393.15 1.0 1.0
20 -513.731533011 -502.063394917 -26.389  0.970573997  0.238339591  0.034356325 394.30 1.0 1.0
21 -513.731533011 -502.063394917 -26.389  0.970918407  0.236935614  0.034336030 395.50 1.0 1.0
22 -513.731533011 -502.063394917 -26.389  0.972243972  0.231448007  0.034256084 400.20 1.0 1.0
23 -513.731533011 -502.063394917 -26.389  0.973855680  0.224585326  0.034154724 406.10 1.0 1.0
24 -513.731533011 -502.063394917 -26.389  0.975409826  0.217752410  0.034052285 412.00 1.0 1.0
